    ID |    NAME       |  RA   |  DEC  |  MAJOR_DIAMETER | TYPE | SPECTRAL_INDEX|  ALT_NAMES         |       CLASS     | DUMMY
     54|SNR G279.0+01.1|149.417|-53.250|          95.0|S   |          0.60|                          |        SNR SHELL|
     55|SNR G296.5+10.0|182.417|-52.417|          90.0|S   |          0.50|PKS 1209-51/52            |        SNR SHELL|
     56|SNR G329.7+00.4|240.333|-52.300|          40.0|S   |              |                          |        SNR SHELL|
     57|SNR G272.2-03.2|136.708|-52.117|          15.0|S?  |          0.60|                          |        SNR SHELL|
     58|SNR G330.2+01.0|240.275|-51.567|          11.0|S?  |          0.30|                          |        SNR SHELL|
     59|SNR G332.4-00.4|244.387|-51.033|          10.0|S   |          0.50|RCW 103                   |        SNR SHELL|
     60|SNR G332.0+00.2|243.321|-50.883|          12.0|S   |          0.50|                          |        SNR SHELL|
     61|SNR G332.4+00.1|243.833|-50.700|          15.0|S   |          0.50|MSH 16-51, KES 32         |        SNR SHELL|
     62|SNR G335.2+00.1|246.938|-48.783|          21.0|S   |          0.50|                          |        SNR SHELL|
     63|SNR G337.2-00.7|249.867|-47.850|           6.0|S   |          0.40|                          |        SNR SHELL|
     64|SNR G337.0-00.1|248.988|-47.600|           1.5|S   |          0.60|(CTB 33)                  |        SNR SHELL|
     65|SNR G337.2+00.1|248.979|-47.333|           3.0|?   |              |                          |              SNR|
     66|SNR G336.7+00.5|248.046|-47.317|          14.0|S   |          0.50|                          |        SNR SHELL|
     67|SNR G337.8-00.1|249.754|-46.983|           9.0|S   |          0.50|KES 41                    |        SNR SHELL|
     68|SNR G337.3+01.0|248.162|-46.600|          15.0|S   |          0.55|KES 40                    |        SNR SHELL|
     69|SNR G338.3-00.0|250.250|-46.567|           8.0|C?  |              |                          |    SNR COMPOSITE|
     70|SNR G343.0-06.0|261.250|-46.500|         250.0|S   |              |RCW 114                   |        SNR SHELL|
     71|SNR G338.1+00.4|249.496|-46.400|          15.0|S   |          0.40|                          |        SNR SHELL|
     72|SNR G266.2-01.2|133.000|-46.333|         120.0|S   |          0.30|RX J0852.0-4622           |        SNR SHELL|
     73|SNR G338.5+00.1|250.287|-46.317|           9.0|?   |              |                          |              SNR|
     74|SNR G263.9-03.3|128.500|-45.833|         255.0|C   |              |VELA (XYZ)                |    SNR COMPOSITE|
     75|SNR G340.4+00.4|251.629|-44.650|          10.0|S   |          0.40|                          |        SNR SHELL|
     76|SNR G340.6+00.3|251.921|-44.567|           6.0|S   |          0.40|                          |        SNR SHELL|
     77|SNR G343.1-02.3|257.000|-44.267|          32.0|C?  |          0.50|                          |    SNR COMPOSITE|
     78|SNR G341.9-00.3|253.754|-44.017|           7.0|S   |          0.50|                          |        SNR SHELL|
     79|SNR G342.0-00.2|253.708|-43.883|          12.0|S   |          0.40|                          |        SNR SHELL|
     80|SNR G341.2+00.9|251.896|-43.783|          22.0|C   |          0.60|                          |    SNR COMPOSITE|
     81|SNR G343.1-00.7|255.104|-43.233|          27.0|S   |          0.55|                          |        SNR SHELL|
